date,close,volume
3/14/2006,2.68,312900
3/13/2006,2.69,822200
3/10/2006,2.66,457200
3/9/2006,2.67,867200
3/8/2006,2.72,1225700
3/7/2006,2.79,1417000
3/6/2006,2.8,667600
3/3/2006,2.83,1000200
3/2/2006,2.85,1095300
3/1/2006,2.91,906800
2/28/2006,2.92,1142300
2/27/2006,2.9,1204000
2/24/2006,2.93,2053100
2/23/2006,2.92,1739800
2/22/2006,2.91,1887000
2/21/2006,2.9,2109900
2/20/2006,2.88,1727100
2/17/2006,2.93,2041500
2/16/2006,3,0
2/15/2006,3,4283600
2/14/2006,3.04,3615800
2/13/2006,3.05,2626700
2/10/2006,2.94,1294700
2/9/2006,2.93,1305200
2/8/2006,2.96,2108900
2/7/2006,2.92,2602200
2/6/2006,2.86,3938100
2/3/2006,2.93,0
2/2/2006,2.93,0
2/1/2006,2.93,0
1/31/2006,2.93,0
1/30/2006,2.93,0
1/27/2006,2.93,0
1/26/2006,2.93,0
1/25/2006,2.93,3843700
1/24/2006,3.26,3109600
1/23/2006,3.2,2352100
1/20/2006,3.19,1949900
1/19/2006,3.2,1816400
1/18/2006,3.16,1531800
1/17/2006,3.1,1123700
1/16/2006,3.15,1261700
1/13/2006,3.22,1316200
1/12/2006,3.23,1764700
1/11/2006,3.18,4251200
1/10/2006,3.14,1971500
1/9/2006,3.08,1466400
1/6/2006,3.07,2363400
1/5/2006,3.06,2718000
1/4/2006,2.98,1162300
1/3/2006,2.95,0
1/2/2006,2.95,0
12/30/2005,2.95,1441800
12/29/2005,2.98,1984300
12/28/2005,2.93,348400
12/27/2005,2.92,762900
12/26/2005,2.96,1223100
12/23/2005,2.94,890400
12/22/2005,2.91,497600
12/21/2005,2.87,517400
12/20/2005,2.91,416200
12/19/2005,2.94,929800
12/16/2005,2.95,1367000
12/15/2005,2.92,771400
12/14/2005,2.96,807800
12/13/2005,2.95,836200
12/12/2005,2.96,1250200
12/9/2005,2.93,873300
12/8/2005,2.9,542200
12/7/2005,2.9,462100
12/6/2005,2.89,307400
12/5/2005,2.89,1039100
12/2/2005,2.98,540200
12/1/2005,3.06,611700
11/30/2005,3.09,1282500
11/29/2005,3.06,871100
11/28/2005,3.07,902400
11/25/2005,3.12,436300
11/24/2005,3.13,677300
11/23/2005,3.14,1134200
11/22/2005,3.13,1105500
